"Year","DayCount","ArticleCount"
1845,32,579
1846,110,1114
1847,0,0
1848,102,848
1849,58,836
1850,60,866
1851,58,897
1852,49,1109
1853,53,793
1854,72,943
1855,67,689
1856,52,613
1857,75,498
1858,54,584
1859,73,651
1860,0,0
1861,51,483
1862,50,776
1863,61,1064
1864,68,948
1865,150,1397
1866,0,0
1867,0,0
1868,0,0
1869,42,922
1870,53,942
1871,0,0
1872,52,1173
1873,0,0
1874,51,1158
1875,52,1175
1876,53,1313
1877,44,1099
1878,36,760
1879,0,0
1880,24,581
1881,0,0
1882,0,0
1883,264,2526
1884,161,1872
1885,150,1902
1886,289,3829
1887,150,2293
1888,0,0
1889,298,6007
1890,302,7028
1891,298,6607
1892,300,7471
1893,246,6131
1894,302,7208
1895,301,7457
1896,304,12254
1897,303,10828
1898,302,11714
1899,303,11529
1900,301,10908
1901,297,8257
1902,300,9053
1903,301,9754
1904,302,14439
1905,300,17612
1906,218,15219
1907,306,22330
1908,307,20238
1909,13,922
1910,274,16703
1911,299,17739
1912,308,19566
1913,306,21011
1914,304,18074
1915,306,13220
1916,281,12698
1917,307,13590
1918,306,13478
1919,301,16475
1920,304,18547
1921,222,14700
1922,305,20557
1923,305,20882
1924,304,21251
1925,305,21607
1926,303,22762
1927,304,24218
1928,304,25128
1929,303,33279
1930,306,36005
1931,305,36860
1932,356,41429
1933,360,42670
1934,358,42572
1935,360,44395
1936,355,48187
1937,356,46737
1938,52,9967
1939,355,52621
1940,249,29710
1941,182,22148
1942,31,1828
1943,0,0
1944,0,0
1945,109,3414
1946,314,22054
1947,234,21972
1948,360,39701
1949,360,43476
1950,198,28059
1951,350,51478
1952,345,56217
1953,352,59281
1954,344,57418
1955,348,54670
1956,347,50736
1957,356,50065
1958,353,45666
1959,347,42241
1960,349,41537
1961,353,45376
1962,348,49575
1963,348,52875
1964,349,54769
1965,348,54142
1966,360,51354
1967,362,51857
1968,364,50021
1969,363,52143
1970,363,58917
1971,352,58947
1972,361,58389
1973,358,57963
1974,360,66042
1975,361,66372
1976,360,65971
1977,359,64087
1978,360,70036
1979,355,74755
1980,359,77346
1981,353,82281
1982,360,87037
1983,354,77569
1984,359,81522
1985,357,85324
1986,348,80998
1987,354,82991
1988,341,82892
1989,355,84795
1990,338,78972
1991,345,80497
1992,213,51628
1993,341,85841
1994,343,85463
1995,349,87357
1996,347,88003
1997,346,89734
1998,344,88513
1999,352,88426
2000,343,89697
2001,315,76388
2002,353,78503
2003,356,75794
2004,348,74337
2005,353,72181
2006,354,73013
2007,354,70337
2008,359,67078
2009,360,58894
